,SchoolID,total_score,Latitude,Longitude
0,01DBH0004I,33.68437118437119,21.879081,-102.254873
1,01DBH0005H,38.427960927960925,21.879081,-102.254873
2,01DBP0001U,90.97222222222223,21.899474,-102.272077
4,01DBP0002T,58.22496947496947,21.879113,-102.254506
6,01DCM0001W,39.88400488400488,21.890421,-102.250565
8,01DCT0001F,91.510989010989,21.894981,-102.322852
10,01DCT0002E,54.76800976800976,21.848263,-102.310702
12,01DCT0003D,87.06349206349205,21.885964,-102.264229
14,01DCT0004C,78.22649572649573,21.869554,-102.270634
16,01DCT0199F,84.72222222222223,21.873664,-102.319873
18,01DCT0279R,45.711233211233214,21.721772,-102.276207
19,01DCT0280G,38.3974358974359,22.082231,-102.270587
20,01DCT0281F,80.40140415140415,21.5047,-102.1616
22,01DCT0282E,49.82753357753358,21.8956,-102.323017
24,01DCT0283D,76.20115995115995,21.886657,-102.231848
26,01DCT0284C,49.29334554334554,21.520394,-102.135753
28,01DES0001O,50.41767758975462,21.882277,-102.307989
30,01DES0002N,71.43822364178004,22.000278,-102.202778
31,01DES0003M,39.21562605571082,22.226894,-102.322835
33,01DES0004L,41.31860200853782,21.843133,-102.715932
35,01DES0005K,56.35115629126869,22.177335,-102.337979
36,01DES0006J,59.3424649120113,21.904768,-102.268224
37,01DES0007I,34.72866312459691,21.851049,-102.323635
38,01DES0008H,61.78403611682688,21.90071,-102.309009
40,01DES0009G,84.54132244095698,21.869746,-102.306164
42,01DES0010W,36.98826817358189,21.902988,-102.285436
44,01DES0011V,56.76422714290101,21.863961,-102.28153
45,01DES0012U,72.02635054205952,21.871508,-102.67665
46,01DES0013T,43.39547311200516,21.842369,-102.189539
47,01DES0014S,39.065139277049234,22.222387,-102.166499
48,01DES0015R,71.8896839777648,21.855681,-102.301536
49,01DES0016Q,31.116980436718777,21.877706,-102.267251
51,01DES0017P,60.738306563066246,21.869026,-102.267595
52,01DES0018O,64.19950247228279,21.999494,-102.291436
54,01DES0019N,61.01394306071681,21.898806,-102.274556
56,01DES0020C,57.90055587973343,22.348611,-102.233611
57,01DES0021B,38.57452166702497,21.858976,-102.265918
59,01DES0022A,67.67375080617917,21.868566,-102.291625
61,01DES0023Z,45.49153895764872,21.885964,-102.264229
62,01DES0024Z,60.274561592088695,21.910981,-102.30937
64,01DES0025Y,55.857467522496236,21.935432,-102.282074
66,01DES0026X,40.176898743896075,21.888756,-102.257963
68,01DES0027W,51.42732102822394,21.893992,-102.296904
70,01DES0028V,75.68102945241239,21.856667,-102.2425
71,01DES0029U,59.43536746414422,21.89503,-102.255552
73,01DES0030J,60.68763244372101,21.842756,-102.304525
74,01DES0031I,26.689905101194682,21.846316,-102.252754
76,01DES0032H,31.103160222351892,21.914114,-102.259047
78,01DES0033G,97.65670587512668,21.908507,-102.282006
79,01DES0034F,43.12828230091213,21.843119,-102.260375
81,01DES0035E,49.8871349160038,21.930606,-102.259417
83,01DES0036D,88.31961549092472,21.967321,-102.297847
85,01DES0037C,22.16762384447652,21.862619,-102.727919
86,01DES0038B,90.03869660022727,21.88605,-102.305097
87,01DES0039A,52.6757470593655,21.940755,-102.256588
89,01DES0040Q,70.53990970793281,21.95894,-102.25506
90,01DPT0001J,69.92216117216117,21.83644,-102.284941
92,01DPT0002I,69.63675213675214,21.883918,-102.287985
94,01DPT0003H,76.26068376068376,21.967017,-102.352116
95,01DPT0004G,84.26129426129427,21.899831,-102.272175
96,01DPT0005F,54.06288156288157,22.222387,-102.166499
97,01DPT0006E,37.04822954822955,21.847575,-102.259832
98,01DPT0007D,58.25091575091575,22.144053,-102.277789
99,01DST0001G,89.85442707533552,21.896634,-102.307822
101,01DST0002F,60.718344031202975,21.880548,-102.316619
102,01DST0003E,40.336598998802245,22.147015,-102.281471
104,01DST0004D,53.37827462301527,21.919299,-101.968751
105,01DST0005C,81.59301004268909,21.876143,-102.300813
107,01DST0006B,51.646141089032895,22.153217,-102.415449
108,01DST0007A,70.51687601732134,21.961944,-102.696111
109,01DST0008Z,90.21068149012622,22.191816,-102.02138
110,01DST0009Z,46.635545591351615,22.366642,-102.296246
111,01DST0010O,55.447467829612116,21.954937,-102.346821
113,01DST0011N,39.36918399312061,22.080673,-102.272024
115,01DST0012M,60.02272657473665,22.097641,-102.066204
116,01DST0013L,51.05494303000522,21.755833,-102.377778
117,01DST0014K,32.29630539602592,22.227309,-102.246304
118,01DST0015J,48.430637879672,22.04,-101.892222
119,01DST0016I,36.0907220294217,22.244341,-102.087154
120,01DST0017H,52.24655262430515,21.794722,-102.785
121,01DST0018G,37.2331930837505,22.287222,-102.238333
122,01DST0019F,21.101931758852615,22.231893,-102.308091
124,01DST0020V,76.26454961456957,21.894984,-102.321517
125,01DST0021U,29.392524799606893,21.848661,-102.311927
126,01DST0022T,77.573631030988,21.888814,-102.276347
128,01DST0023S,39.52888424802678,22.14176,-102.276798
130,01DST0024R,55.744602438500046,21.849946,-102.297954
132,01DST0028N,33.97930039003717,21.970453,-102.351714
134,01DST0029M,68.93215810325236,21.879887,-102.255661
136,01DST0030B,45.07079020914591,21.7225,-102.275833
137,01DST0031A,55.3545652774792,21.855998,-102.310599
138,01DST0032Z,84.56896286969074,21.881667,-102.464167
139,01DST0033Z,49.84183532446792,21.859444,-102.664167
140,01DST0034Y,64.40143115997665,21.860084,-102.310305
142,01DST0035X,66.9036577500691,21.859343,-102.253358
144,01DST0036W,48.30472037099598,21.882372,-102.249039
146,01DST0037V,61.841620343355544,21.918032,-102.264957
148,01DST0038U,24.910936396302326,21.869914,-102.237344
150,01DST0039T,31.47093148244833,21.951944,-102.328889
152,01DST0040I,58.573139645588284,21.874355,-102.232165
154,01DST0041H,32.74623015263659,21.880833,-102.296111
156,01DST0042G,48.87902705690857,22.025399,-102.277796
157,01DTA0030C,31.865079365079364,22.1475,-102.278333
158,01DTA0040J,53.894993894993895,22.094444,-102.069722
159,01DTA0061W,91.0989010989011,21.84116,-102.719316
160,01DTA0103E,70.34188034188034,22.369383,-102.297389
161,01DTA0204C,35.647130647130645,21.915833,-101.965278
162,01DTA0205B,5.207570207570208,22.233975,-102.233975
163,01DTV0001U,74.34353981757317,21.730833,-102.498333
164,01DTV0002T,51.45189029820951,21.960278,-102.268889
166,01DTV0004R,55.61561377107583,22.035,-102.258056
167,01DTV0005Q,65.9147446331501,21.998889,-101.996111
168,01DTV0006P,83.25604250483707,21.781667,-102.4675
169,01DTV0009M,52.01928687693867,21.935,-102.021944
170,01DTV0010B,85.32293234237278,22.234444,-102.019167
171,01DTV0011A,82.97349590000307,22.088611,-101.968056
